Title,Variant SKU,Variant Image
Fiesta His Java Mug,'57041394,https://cdn.shopify.com/s/files/1/0003/9541/1508/products/His_Mug.png?v=1624018963
Fiesta Hers Java Mug,'57041395,https://cdn.shopify.com/s/files/1/0003/9541/1508/products/Hers_Mug.png?v=1624018940
Fiesta Mr Java Mug,'57041396,https://cdn.shopify.com/s/files/1/0003/9541/1508/products/Mr_Mug.png?v=1624018981
Fiesta Mrs Java Mug,'57041397,https://cdn.shopify.com/s/files/1/0003/9541/1508/products/Mrs_Mug.png?v=1624019004
Fiesta Dog Java Mug,'57041364,https://cdn.shopify.com/s/files/1/0003/9541/1508/products/25879827.png?v=1624018917
Fiesta Cat Java Mug,'57041366,https://cdn.shopify.com/s/files/1/0003/9541/1508/products/25879828.png?v=1624018900
Fiesta Baking Tray,'50500,https://cdn.shopify.com/s/files/1/0003/9541/1508/products/50500-TOP.png?v=1623955342
Fiesta Pizza Plate,'141600,https://cdn.shopify.com/s/files/1/0003/9541/1508/products/141600-TOP.png?v=1623956554
